,分数,影评
486,推荐,"如果這部電影和劉若英沒有關係，也會去看一遍。 我記得幾年前和一個人去看劉若英的演唱會。因為那個人知道我喜歡劉若英。3個半小時的演唱會后，那個人問我劉若英怎麼樣，我說就像見到了一個很久不見的老朋友，坐下來聊聊天，聊聊現在，不談過去。 看完《後來的我們》，整場電影...

                         (展开)"
487,较差,"电影拍出了MV的感觉，故事转折起承不太自然，为了讲清楚道理，导致剧情太过迎合，很多台词过于文艺，感觉有点飘。全程看完，很遗憾，没有触动到我，反而有些不爽，如鲠在喉，难以言表。唯一的看点是表演，演员表演很棒！以前完全无感的周冬雨，这次很自然，井柏然表演也很到位...

                         (展开)"
488,还行,"人生在世，总有故事。 但错过的，未必值得怀念。 近期一部最火的电影，就是“奶茶”刘若英的大荧幕处女座《后来的我们》。 文艺、清新、怀旧、情怀，似乎非常戳人泪点。 尽管闹出了刷票、退票的笑话和闹剧，但仍然有一众粉丝为之倾倒、落泪。 然而群众的眼睛是雪亮的，豆瓣5.9...

                         (展开)"
489,推荐,"没有期望，就不会用失望。抱着批判与吐槽的心态观看，十分意外，这部电影真的挺打动我，让我格外回味无穷。 “错过”题材的电影近期非常热门，大众多多少少都从中找到了自己的青春与情怀，所以深受现代人的追捧。如果拿前任3和后来的我们比较，后来的我们不像前任3的内容那么单...

                         (展开)"
490,力荐,"看电影之前，内心挣扎了很久，因为喜欢奶茶，会想着自己会喜欢她的一切，担心电影会影响自己对她的喜欢。 电影没有看完，看到见清的儿子打电话的那一段，在那一刻我其实是没有想看下去的勇气，我接受不了这样子爱情观，和前任缅怀着过去，欺骗着自己的老婆和孩子。没结婚，爱情...

                         (展开)"
491,推荐,"这篇影评可能有剧透

                        《后来的我们》 一个女导演，拍了一部关于一个男孩成长的故事。从前，我总说，一个女孩可能一生会遇到三个男孩，第一个是青涩的初恋，作为情感启蒙存在；第二个，是那个刻骨铭心，但是绝对不会在一起的人，那是你一辈子都不会忘记的男孩；第三个，就是那个陪着你共度此生的人。...

                         (展开)"
492,较差,"电影开场就说：后来的我们什么都有了，却没有了我们。 可是我看见了后来的林见清有房有车有存款有好工作有老婆有小孩，后来的小晓只有满身伤痕和一个拥挤的出租小单间。 剧中有几个泪点，我看了哭的很伤心。 比如：女主和男主在一起前，各种勾搭各种北京有房的有钱人。后来被男...

                         (展开)"
493,还行,"无论是情怀至上还是浓郁怀旧，后来的我们什么都有了，可是没有了我们。 回顾一下经典台词 为你上九天揽月，下五洋捉鳖。 我最大的遗憾就是你的遗憾与我有关。 幸福不是故事，不幸才是。 伊恩如果找不到凯莉，这个世界就再也不会有色彩了。 如果没有如果。后来没有后来。 重逢之...

                         (展开)"
494,还行,"早在一百多年前，马克思老师就讲了：“如果有10%的利润,它就保证到处被使用；有20%的利润,它就活跃起来；有50%的利润,它就铤而走险；为了100%的利润,它就敢践踏一切人间法律；有300%的利润,它就敢犯任何罪行,甚至绞首的危险。” 这句话当然同样适用于影视圈，动辄票房过亿的电...

                         (展开)"
495,还行,"这篇影评可能有剧透

                        说实话本身是很期待电影的，看过之后很失望。赚够了眼泪，但三观都丢了？女主恋爱的目的是为了扎根北京，男主默默喜欢，酒后吐真言，一炮成真爱。爱得没有轰轰烈烈，失恋后男主灵感迸发，走向人生巅峰...男主父亲把这些归功于女主，结尾的一封信确实感人，男主父亲眼睛不好，人...

                         (展开)"
496,推荐,"如果我们一起坚持到最后呢？ 如果我当时足够有钱， 我们住进一个有大沙发的大房子； 如果我们当时就是不管不顾， 我们就是结婚了呢？ 方小晓回他： 如果当初我们没有分手， 那我们之后也会分手。 如果当初我们冲动领证， 那现在已经离婚很久。 如果当初你一夜暴富， 那你已经有...

                         (展开)"
497,力荐,"这篇影评可能有剧透

                        文/冬月渐暖 以前总以为，人生最美好的是相遇。 后来才明白，其实难得的是重逢。 如果我们能够久别重逢， 我希望你别来无恙。 1.遇见你的世界，连心跳都是彩色的 绿皮火车停开，是林见清和方小晓的初遇，只是谁都没有想到，一认识便是一辈子。 雪地里的打闹，年夜饭的温馨，异...

                         (展开)"
498,推荐,"这篇影评可能有剧透

                        两颗星给剧情 一颗心给田馥甄陈奕迅 一颗星给刘若英 主要泪点来自男主爸爸的那封信 电影的主题曲和插曲还蛮好听 前面部分剧情不知道戳到了我哪门子的泪点 可能是也有深深爱过某个人而不得的那种遗憾的同感吧 也被人喜欢过 伤心过 但过去了就过去了 爱的时候轰轰烈烈用尽全力 分...

                         (展开)"
499,推荐,"这篇影评可能有剧透

                        更多影评和资源欢迎关注微信公众号“五十公斤熊”。 相信熊，这几天以下这部片一定会刷爆票圈。 想必你们已经猜到是什么了—— 后来的我们 预售破亿； 在熊下笔的时候票房已经超过9亿； 提前领先五一票房档。 随之而来的是大规模退票事件，一时舆论沸沸扬扬。 《后来的我们》的...

                         (展开)"
500,力荐,"这篇影评可能有剧透

                        初听不知曲中意，再闻已是曲中人。 后来的我们? 后来有你后来也有我，只是没有我们了。 好好说再见，祝福对方。 祝你能找到那个能为你上九天揽月，下五洋捉鳖的人。 但是我更希望你能主动点，珍惜对方。 比如你运营找广州立群，助长你的事业，如果没有如果，别等了。 后来的我...

                         (展开)"
501,较差,"这篇影评可能有剧透

                        如果不是陈奕迅唱那首《我们》，大概不会知道刘若英还去拍电影并且在今年4月28日上映。讲真，她的歌听得少，演的影视剧里印象比较深刻是《粉红女郎》里那个结婚狂。看《少女小渔》是因为张艾嘉，看《似水年华》是因为黄磊。讲最久的八卦是她公开“暗恋自己的老师陈升”，关于电...

                         (展开)"
502,还行,"这篇影评可能有剧透

                        本片最成功的角色塑造是田壮壮饰演的林父，将一个中国传统中老年人的形象完美展现出来。所以这也是这部电影特别投机取巧的地方，爱情线制造不出泪点，用最淳朴的亲情来掩盖男女主各种浮夸和矫揉造作的感情。先戳我泪点是眼睛已经看不见的林父拉着见清的新女友，说这是小晓吧。...

                         (展开)"
503,较差,"对半台湾青春爱情片期待蛮高的，结果男女主作，剧情矫情，转折生硬没啥好谈的。 而且看到大宝的时候瞬间出戏，看到他满脑子全是大黄张牙舞爪准备自曝的样子，一定要去直播间问问他不好好玩狼人杀去拍什么电影23333 电影中出现的歌曲很有趣呀，片尾彩蛋《后来》-刘若英，插曲《...

                         (展开)"
504,推荐,"我知道，多年后，你终会走过我曾经过的路，见我曾见过的风景。 我们也曾是陌路人，因着那拥拥攘攘的列车，寒寒瑟瑟的大雪，相见时是热闹，离别时是平淡。后来的我们什么都有了，却没了我们。那时候的小晓和见清，单纯善良，和一切 有关离别的桥段一般，错过成全了对方也成全了...

                         (展开)"
505,很差,"【漾·纪】《看了一版很長的MV》 前兩日去看《后来de我們》 全程的尬 还沒看完就想說： 刘小姐，要耍文艺情怀电影，咱不带這麼玩儿的，成嗎？ 刘小姐，知道拍电影和拍MV的区别嗎？不是把MV時間加長了場面塞了一些台词，以此做成一串PPT那就成了电影，OK？ 演员看得出来都挺卖力...

                         (展开)"
506,力荐,"五一假去看了新上映的电影《后来的我们》，还是不由自主地想起来曾经的那么多年。 好巧不巧，林见清和方小晓故事的开始，也是在2007。 2007年寒假的长沙，在湖南农业大学的公交站旁，我打着雨伞从你面前经过，故意用伞挡住脸，想看看你能不能认出我。差点擦身而过的时候，你喊...

                         (展开)"
507,力荐,"我们什么都有了，只是我们都死掉了，这个脑洞想法类似泰坦尼克到革命之路，男女主其实最后还在在了一起接受了所谓看得见未来的生活，女主变成生性多疑，被柴米油盐生活所包围没有浪漫情怀的人，男主挥挥手和自己，和女主已经失去那部分人格告别。 田壮壮那封信是寄给亡妻，也是...

                         (展开)"
508,力荐,"这篇影评可能有剧透

                        印象最深的就是那句：能不负对方就好，想不负此生真的太难！当时并没有太彻底明白这句话的真正含义，但回过头再去品味嗯懂了…人生或许就是这样，走过一段路程，遇见一些人，经历过一些事，有时可能真的会遇到能让我们心动的人，一起走过的日子都是最好的回忆！后来的我们什么...

                         (展开)"
509,力荐,"听到有人在说，《后来的我们》卖的是情怀，然后人云亦云，话就很难听了。 我确实是因为奶茶导演才关注这个电影，才会工作之余找时间和最重要的人去看这个电影，但是看过电影，总想说一些和情怀无关的。 我觉得后来的我们没有为了迎合观众刻意跌宕剧情，而是用一个躺在北京往事...

                         (展开)"
510,力荐,"“或许 后来的我们 什么都有了 却没有了我们 ” 感觉是一部很现实的电影  相恋十年的爱人的错过 很令人心酸 见清父亲的信 很触动我的心 片尾的万人唱《后来》 也是很令人触动 也许如果以后的某一天我们分开了  我会想起 2018年4月28日下午16点30分 与周先生在横店看的《后来的...

                         (展开)"
511,还行,"那些观影时泪湿的纸巾，随手扔掉就好。那些往忆遗憾，学会释然就好。再美好的记忆也经不住光阴的遗忘，再悲伤的情怀也抵不过时光的冲刷，不要矫情，不要作，更不要伤春悲秋。珍惜现任，尊重前任，毕竟一辈子不长，不该只谈过往，仅叹余生。谁的人生不曾经历过含泪的旅程，无论...

                         (展开)"
512,很差,"过了这么多天还是一直被刷《后来的我们》 说实话，这种片子是真的垃圾不入流的那种，前段时间出的前任3也是。可是这种类型的电影是真的好卖，一大群痴男怨女就是买这个账。 一个好的影视作品抛开演技不说，故事是最基本的，故事的好坏及对现实生活的人、事的剖析是灵魂所在。在...

                         (展开)"
513,还行,"这篇影评可能有剧透

                        这部电影中女主的性格更加鲜明，活泼，天真，友好，笑对生活，电影中关于亲情的片段我认为是这部电影最好看最催泪的部分。非常诟病的是将在北京奋斗的年轻人的状态描写得太过于明显，不深入，如见清的室友跟见清说，我家人给我找了一份工作，我觉得比起理想，吃得饱更重要（具...

                         (展开)"
514,还行,"同在北京打拼的两个年轻人，在回来过年的火车上偶遇，相同的经厉，相同的梦想，使两人走到一起。 男主见清（井柏然饰），起初的他在经历不顺时，有些懈怠，酗酒打人，当与女主方开后，开始了上进，努力打拼， 女主小晓（周冬雨饰），一个年轻漂亮的女生，一心想利用自己是女生...

                         (展开)"
515,推荐,"在网络上铺天盖地对《后来的我们》进行评论的时候，我犹豫了，到底要不要去看这一部关于前任的电影？我没有前任，这个电影会引起我的共鸣吗？ 可是我太喜欢刘若英了，还是选择去观影！ 我的印象中，电影的节奏是快的，有的细节还来不及展示，可是《后来的我们》，就像让我坐上...

                         (展开)"
516,还行,"分开了就是分开了，两个人要讨论那么多如果这是装逼给谁看？大多数谈过结婚未遂的恋爱的男女都会有这种想法和念头，如果当时坚持下来，会不会不一样？这就是典型的用恋爱的标准去衡量你可能并不如意的婚姻。那你是否想过，也许当时的分手，就是因为你用婚姻的标准去估计了你的...

                         (展开)"
517,还行,"抛开演员和其他技术方面，单说电影的灵魂。 关于过往，谁没有前任。 但说起过往，难道你脑海里只有前任？ 难道说起前任，你会想到的只是那个温柔或很渣的人？ 难道没有那时的自己和无法复制的青春？ 所以许多人拼命地骂该片动机不对，各种仿佛亲身体会的被出轨受害者或幻想被害...

                         (展开)"
518,很差,"这篇影评可能有剧透

                        这是一部充满了恶意的电影，导演没有任何人文情怀，似乎有种“这就是现实”的自信。 无论在亲情，友情爱情方面都是怀着一种想当然的姿态。你在北京混的差，跟你一起打拼的哥们就一定会瞧不起你。因为你穷，因此你和你的女朋友就一定会心生间隙。因为你在北京混不下去，所以你在...

                         (展开)"
519,还行,"本来是不想看的，就听啊小给我讲了讲大概内容。最后还是没忍住还是跑去看了，可能就想见证这有多难看的吧。第一，网上说的比较催泪的林见清爸爸的那封信，可能我麻木了吧，竟然没感觉。第二，看完整部电影，我还是不懂为什么他们两分开了，个人觉得要是把他们之间的矛盾，写的...

                         (展开)"
520,还行,"这篇影评可能有剧透

                        “后来的我们，什么都有了，却没有了我们。”好好一个温情催泪的场景，活活拍成了诗朗诵，看到这儿直接笑场了，我最怕主人公在影片里说出电影名字，然而这一幕真的出现了。矫情如我，如果与前任叙旧的话，也说不出来来这样的词儿。 整部电影架构很简单，普普通通两个人的故事，...

                         (展开)"
521,较差,"这绝对不是我期望看到的爱情，很多人说，看了《后来的我们》想到了前任，但是我在观影的时候，全程想的都是我现在的对象，全程都没想到前任。 他们在北漂的那段生活，不就是要让你珍惜当下吗？不就是给你体现了‘生活不易，且行且珍惜’这9字名言吗？ 哦！前任真好，回归前任，...

                         (展开)"
522,很差,"卖弄情怀圈点钱，老了老了混个导演的称号就准备隐退江湖。国产烂片太多了。卖弄情怀圈点钱，老了老了混个导演的称号就准备隐退江湖。国产烂片太多了。卖弄情怀圈点钱，老了老了混个导演的称号就准备隐退江湖。国产烂片太多了。卖弄情怀圈点钱，老了老了混个导演的称号就准备隐...

                         (展开)"
523,推荐,"留给一颗星给我们未完待续的青春 后来，我们没有了我们 最被那一句I miss you感动，所以觉得影片的成功之处就在于我们都有后来，都有可以回忆的过去，因此可以引起一片的共鸣。 最怕一首歌，初听不懂曲中意，再听已是曲中人 “有些回忆就是后悔悔恨悔不当初 落魄的时候，最容易...

                         (展开)"
524,推荐,"这篇影评可能有剧透

                        没有评论，我评价一部电影好坏很简单，被打动了就好。因为被打动，所以试着改编了一下，成为一部小说，严重剧透，还没有看电影的不要读小说。 2007 年的时候，见清和小晓在北京，房子是那么拥挤，可是梦想却很大，大到那么小的房子快要盛不下了。一张单人床，一个地铺，还没有...

                         (展开)"
525,推荐,"这篇影评可能有剧透

                        随着年龄的增长，在看这类电影结局并不美好的电影不会像原来那样内心绞痛，但那些日常生活才会出现的对白依旧把我带入了整个剧情里，没有狗血，没有波澜，在一起和分开都显得那么自然，被众多人吐槽的碎片式的剧情于我而言更像是一个开启回忆的钥匙，在别人的故事里反省自己的...

                         (展开)"
526,还行,"这篇影评可能有剧透

                        爱情没有打动我，不过父亲这个角色真的赚足了我的眼泪。周冬雨真的有一张非常清纯的脸，小井也很帅，他们两在这里面的演技我觉得还行，起码不尴尬能带动我。 对于电影，我不理解小晓，我也和见清一样疑惑着她想要什么？在一起几年后，因为见清的堕落，生活的失望，不想在一起了...

                         (展开)"
527,较差,"极度不正常的爱情观。明明有家庭，明明有对象，还能躺在一起牵手聊天就差滚床单。这特码不是精神出轨吗。 三观不正可能是一点吧。但是最可怕的可能是那些流泪的人找到了共鸣。 但是感情这种事情本来就不是能用三观就能掰正的，有些人对于寂寞有着抗拒，对于没能得到的又有执拗...

                         (展开)"
528,还行,"当然是浓缩版的上演，没有那么惊心动魄的爱情，我也不是生活的很落魄，也不抽烟、喝酒，但还生活在昌平，很专一想去爱一次，却走丢了最爱的人，还在房子里坐在电脑前敲字，没有成功！ 对于一些含情脉脉的电影在我的认知里，如果抛开相对理性的人不说，大多数观者都会有所触动吧...

                         (展开)"
529,力荐,"两小无猜的两个人，直男男主和感情细腻的女主因为不够理解对方，带有青春执拗的小情绪，最终导致分手。这样没有走到一起的爱情悲剧，事后相见却怀念的剧情看似十分狗血，在加上剧情时代的不符合性，让很多人大喷这个电影，觉得不好看，觉得狗屎不如，大卖青春情怀，是一部烂片...

                         (展开)"
530,力荐,"我记得那个《爱情限量版》短片的下面里有个热门评论，大意是“都什么时代了，你这么矫情，累不累？” 是啊，当一个细腻柔软的真心，尽力优雅却又胆怯的给出时，在碰触爱、陷入爱，经历感情的风吹草动想抽离又徘徊，在梳理心情展望茫然的未来时，应该会很累吧。但这样的爱情才是...

                         (展开)"
531,推荐,"后来的我们，有了后来，却没了我们。伊恩弄丢了凯莉，色彩褪成黑白，凯莉与伊恩相遇，世界又有了色彩的光亮。一句认真的再见，比匆匆离去留下的遗憾更能放下。我们可以在路上慢慢体悟慢慢期待慢慢遇见，那些需要你去经历和感悟的，都会随着岁月的流逝，慢慢向你走来。 父亲的信...

                         (展开)"
532,还行,"我在看了一半的彩蛋后退场，大概所有遗憾都相似，我们爱得也都心酸。身后是奶茶干净的声音""如果当时我们能不那么倔强，现在也不那么遗憾。"" 我总觉得自己更希望看到见清在和小晓相遇，哭过笑过缅怀过后，回到家，会拥着妻子和宝宝，粘豆包热腾腾冒着热气，他终于感到一颗心落了...

                         (展开)"
533,还行,"看到很多朋友的评论说这部剧三观不正，各种负面的东西。我就抛出我个人一个观点吧。这个世界哪有那么多忠贞不二的爱情呢？哪有那么多没有一丝邪念的正人君子？百分之九十以上的成年正常男性都会对身边经过的身材火辣穿着暴露颜值很高的女性有过哪怕一瞬间的性幻想（这个数据是...

                         (展开)"
534,还行,"后来，女主对男主说，I miss you，但那不是我想你，而是我错过了你。所以我就想不通，那当初为什么要别扭着不肯复合呢，明明心里都有对方，也没有不可化解的矛盾，难道只是为了推动剧情而硬编剧情。 反而亲情的这条线处理的很好，不温不火的叙述恰到好处，直到结尾读信让人彻底...

                         (展开)"
535,较差,"这篇影评可能有剧透

                        首先讲下从商业性质上来讲的话，这可能算是一部成功的电影，凭借刘若英在音乐上的影响力，和首次执导电影的噱头，又是文艺爱情片，估计会有一大波小年轻会去看，又有一个很好的上映期，完美避开了妇联3，刚好夹着2个礼拜的时间，中间的真空期。然后讲下因为是刘若英执导拍的，...

                         (展开)"
536,较差,"因为朋友的首映礼赠票以及怀着支持奶茶导演处女作的心情，我激动万分地走入影院，还偷偷备了一包纸巾。因为几乎所有的营销都表示，看《后来的我们》预告片都可哭成狗，可想而知正片看完后会哭成什么德行。 然鹅，看完后，笑成了傻子，却只因为后面父亲的一封信掉了几滴眼泪。爱...

                         (展开)"
537,力荐,"这篇影评可能有剧透

                        后来的我们，虽然观影的时候眼前会浮现我和他的画面，但触动我的并不是见清和小晓的相遇与相知，而是见清和小晓若干年后的重逢，小晓对见清说的I ""miss"" you。 我也想你。 见清，我错过了你… 有些人、有些事，错过就真的错过了，即便以后再经历，也不会再有当初的热情和感觉…...

                         (展开)"
538,还行,"这个打分历程很坎坷了… 28号晚上在青岛百老汇看完，度假的愉悦逃离工作的久违轻松让我对这个片子热情高涨。被剧情催泪，哭到眼肿，出来以后在奥帆中心边上心情却一直很复杂。原因有二:1.我没有前任也没有现任，那我到底在哭个啥啊？？？2.可能这种配置一定是会被批评的。看的...

                         (展开)"
539,还行,"1.一成不变国产青春套路，但是没有任何共鸣。 2.片子三观不正、脏话连篇。恕我学疏才浅，我只看到这是一个已婚之“父”和前任在酒店里回忆刻骨铭心之恋。不骂人是我最后的底线～ 3.周冬雨演技已亮瞎我的眼，全程感觉在参加真人综艺秀，说话没有任何情感，分分钟出戏。 4.小井是...

                         (展开)"
540,很差,"电影刷新了三观……电影前期宣传得挺好，情怀，音乐，新导演作品……不过有些内容三观还真不敢苟同。 出场顺序不重要？来得早不如来得巧？呵呵。一个姑娘用自己的大好青春陪你走过最黑暗的时光，不正是因为有着和你一起走下去的信心和勇气吗？为什么要在最该坚持的时候选择了放...

                         (展开)"
541,力荐,"《前任三》让你想起了前任 《后来的我们》让你想起了初恋 反正就是不让你跟现任好好过 想看这部电影  谁给点资源呗谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢谢...

                         (展开)"
542,还行,"这篇影评可能有剧透

                        不说太多关于这部剧怎么样，只是想说关于感情的那一部分。 电影看完，我觉得这其实更像一部男主的成长经历。 憧憬，拼搏，挫败，颓废，失去，努力，成功， 从开始到结尾女主是男主成是最为核心的一部分。尽管最后，我们已不再是我们。 如果把完成北漂看做成功，去掉令人尴尬的...

                         (展开)"
543,力荐,"后来的我们，是我看过最真实的爱情故事！不管别人怎么看这部电影，三观不正这些说法。起初我觉得，只需要看两人故事开始到结束就可以，不需要在意18年的再相遇。因为之前的就是一个完整的故事，一个现实的故事。看过致青春，看过那些年，故事大多还是更像小说，不像是真人，或...

                         (展开)"
544,较差,"【C】 呵呵呵呵呵呵…… 全场最佳也就见清他父亲了，特别是那封信那里。影片其他地方真是不能打动我片尾彩蛋是刘若英演唱会上大合唱【后来】听着听着突然意识到这首歌是和一个人有关的可是我却怎么也想不起那个人是谁了是哪个男孩子呢？才惊觉和承认，原来时间真的可以带走曾经...

                         (展开)"
545,较差,"马克思说如果有10%的利润,它就保证到处被使用；有20%的利润,它就活跃起来； 有50%的利润,它就铤而走险； 为了100%的利润,它就敢践踏一切人间法律； 有300%的利润,它就敢犯任何罪行,甚至绞首的危险。 片子拍的一般。后来的我们看到了真实的世界！发行方猫眼垃圾，为了资本利益，...

                         (展开)"
546,推荐,"这篇影评可能有剧透

                        不管网上怎么讽《后来的我们》 （北漂我没经历过 所以真的不了解) 但感情戏我真的觉得挺好的 “上九天揽月 下五洋捉鳖” 没想到当初口口声声要为你这么做的男孩 最后对你说 你会找到另外一个这么为你做的人（好像所有不了了之的爱情结束语都是这样？） “—为什么世界上就没有...

                         (展开)"
547,力荐,"很多人说“如果伊恩找不到凯莉，世界将没有颜色”这句话太矫情，但实际，我是相信的。 但我又现实的以为，刻骨铭心的不是那个人，是自己当下的那段经历，而你与我一起经历，也就变得刻骨铭心了起来。 人们总说半路夫妻远没有原配的好，大概也就是这个意思了吧，偶尔想起前妻，...

                         (展开)"
548,很差,"五一假期想去看幕后玩家，几家影院被此片挤压的没有场次，朋友换另外一家影院买票，因为此片场次实在太多，手一抖选成了这部电影，没想到由于前期出品方刷票，导致现在影院不支持退票，想在影院门口把这票卖出去，结果没人看这个电影，忍痛去电影院看了，五一的黄金时间，在最...

                         (展开)"
549,较差,"这篇影评可能有剧透

                        影片开头男主女主在火车上相遇还不认识，镜头一转回到了家里过年，就在男主家门口又相遇了，同村？不认识？看前半部分想发朋友圈（渣女），看后半部分想发朋友圈（渣男），途中好几次差点睡着，三观简直了。整个电影唯一的泪点是最后男主父亲的那段旁白。一部说爱情的影片竟然...

                         (展开)"
550,还行,"于4月29日十点多，小姐姐各种不顺才抵达电影院der。话说，感觉没有朋友圈里反响的那么好。剧里的情情爱爱剧情就不想说啥了，感觉吧，整部剧触动点就最后结尾男主父亲给女主写的那封信，表白男主父亲演得真不错。夜深人静间，老父亲烤着火炉、孤独和烈酒常伴。最后影片中老父亲...

                         (展开)"
551,较差,"这篇影评可能有剧透

                        因为朋友是五迷去看的，从一开始就没有任何期待，退票一事也只是为五月天不值。唯二的亮点是五月天两首插曲，等到最后都没听到后来的我们，难受。 男主性格暴躁易怒，爱打架，一不高兴就打人摔东西，婚前劈腿婚后出轨，离开女主之后立马走上人生巅峰。。。而女主从头到尾一直遇...

                         (展开)"
552,推荐,"这篇影评可能有剧透

                        不对这部电影的负面作评论，只想对电影本身说说自己的观感。哪些评论说看不懂的这样那样的，我想问问你们多大了或者说才几岁？80以前看这部电影多少有些感触，但是不会太大，毕竟80以前大都是媒妁之言，自由恋爱那时候应该很少，所以这段故事也就很少发生；再说说90-00后，这个...

                         (展开)"
553,还行,"作为一个感性的汉子，一直对这类题材的电影很感兴趣，没有哪一次不是在电影院哭的稀里哗啦的，加上影片有陈奕迅和田馥甄的献唱，让我对这部影片有了很大的期待，但真正看完这部片子，我却毫无所动，整部影片只觉得是在看一篇故事，一部MV，回忆与现实来回切换的叙述方式，灰暗...

                         (展开)"
554,较差,"除了2018的标签想不出别的符合的了，之所以打两颗星还不是打给电影的，一颗星打给《后来》这首歌，一颗星鼓励算是给刘若英首拍电影的鼓励。昨天看了《后来的我们》，不得不说太失望了，前期宣传一直打着""后来""的旗号，大家都知道大众对《后来》这首歌有一定的情结，当刘若英宣...

                         (展开)"
555,力荐,"这篇影评可能有剧透

                        【观后感】最初看到电影的宣发，就满怀期待的想看，看完以后，感触颇多、颇深。 人总是对那些拥有自己不拥有特性的人有着莫名其妙的好奇与好感，见清之于小晓就是了，在那一刻，爱已经产生，只是从感知觉到意识的确需要时间；说脏话、骂人、坏坏的笑……在那一刻就都是优点了。...

                         (展开)"
556,推荐,"这篇影评可能有剧透

                        首先，黑白彩色与爱情这个点很棒，然后是田壮壮的表演把这个戏的后半段拯救了。电影前一半非常惊艳，一群台湾人拍出了浓浓的中国味道，其中也不乏阳光下的鹿🦌这样的浪漫，电影的前半段现实黑白与过去彩色一直到说破这个设置，简直到了高潮。然而现实中，两个人到了冰湖上时...

                         (展开)"
557,还行,"文/MY麦子 01 “如果我们现在还在一起会是怎样？” 每次听戴佩妮的《怎样》都会很认真的去听这句歌词，然后想一想，如果我们现在还在一起会是怎样？ 如果当初我们没有分手是不是就过上好日子了？如果当初我鼓足勇气让你留下来我们会不会就有结果了？如果当时我足够有钱，我们住...

                         (展开)"
558,力荐,"不悔梦归处，只因太匆匆 每当小晓交到一个男朋友时，见清总会问她，“他对你好不好？”小晓问“怎么好才算好？”，见清的回答：“上九天揽月，下五洋捉鳖，就是为了你什么都能干”对啊，想起这句唯美而感动的话语让我们不由得触目惊心，从整个剧情来看，那终将抵不过现实的一击...

                         (展开)"
559,很差,"这篇影评可能有剧透

                        在我看到男主孩子给他爹发视频的时候，我就在想这他妈是个什么玩意，女主在底下躲着，电影院的人都在笑，很好笑吗？ 什么玩意儿，打着怀念前任的旗号和情怀，整部片子都是三观不正。 所有恋爱了、结婚了还在怀念前任的电影都是垃圾。 如果两个人分手，只有一个理由就是不够爱，...

                         (展开)"
560,较差,"第一：故事毫无剧情可言，很刘若英，叙事散文，结构不完整，比看匆匆那年还要尴尬。看完全剧，煎熬无比，居然没有找到一点让我觉得值得花钱去电影院看的感觉。 第二：我选了一家环绕坏掉了的影城，点名""崇和门影城""-五号厅，据经验目测音箱线被不知名生物咬断了，不知道影城是...

                         (展开)"
561,推荐,"这篇影评可能有剧透

                        昨天一个人去电影院看完了后来的我们，去了之后发现影院里的男男女女，好多都是一个人去的. 虽然之前就知道这部电影会像我之前看过的所有关于青春的电影一样，会有个悲伤的结局，男主女主最后都会成为彼此心中最深的遗憾，但是我还是去看了。或许，我们有时候看电影，看的并不...

                         (展开)"
562,较差,"这种电影…总是靠一些片段感动人，给人一种同情感？演员实话说比我想象中演技好了挺多，可惜编剧是个骗饭吃的只会编故事的人，而这个故事并不合理，三观不正，也不适合讲给别人听… 最近的几部国产片都在回忆过去的人，过去的事情。在一个生活节奏那么快的时代，回忆确实令人感...

                         (展开)"
563,还行,"世界很小，也很大。 在没有看见光的时候，即使生活在同一个县城，也没见过对方，待缘分到来，拉开窗帘，就看到了你的身影，到分手之后，纵使每天上下同一趟地铁，走过同一条街道，却再没有相遇。 如果这也算吸引力法则，那爱情最终败给的不过是未知罢了。 比起爱情，这部电影最...

                         (展开)"
564,还行,"整部电影得分7分吧，有不同意也有共鸣的地方。 第一:他们在一起确实因为有了经历，但是不够坚定。 第二:他们不够坚定的原因不是不相信，而是因为我觉得最不可思议的是沟通问题，也就是三观不合，两个人彼此都不肯容一步，不要说因为分手了才懂得如何去爱，而现实中有这么样的对...

                         (展开)"
565,很差,"看《后来的我们》能感动哭的人是不是没啥恋爱经历，没见过真正的爱情是什么样啊？ 没见识过好人，才会把人品有瑕疵的渣男作女当个宝，敝帚自珍。 没见识过健康的亲密关系，才把那种痛哭流涕的矫情当爱情。 没见识过满汉全席，才抱着窝窝头喊“哇！太好吃了” 我真是服了。 建议...

                         (展开)"
566,推荐,"这篇影评可能有剧透

                        多的是那些没机会说出口的再见 电影的好处就是它总满足人们不可能实现的一切，我最后那么平和的给你说的一声再见，不知用了多少夜里翻来覆去思念你换来的力量，你抱我的时候能再久一点点吗，我想记得这个体温和那个闻见就会疯狂的体香。可最后我们都松开了拥抱对方的手，这一刻...

                         (展开)"
567,很差,"伴随着朋友圈持续的刷屏，我也按耐不住，兴致勃勃地跑到电影去把这部电影看了。看完，无感。一开始觉得可能是我的问题，因为我是一个没有什么故事的人，电影中的情节引不起我的共鸣，煽动不了我的情绪；再者听闻很多人看哭了，我是抱着去哭一哭的心态去的，我承认故事中确实有...

                         (展开)"
